field,m,angle,distance,relerr_offset,relerr_abs,mag
phis,0,1.570796,1.778279e-09,0.000000e+00,6.098549e-08,5.623413e+07
phis,0,1.570796,3.162278e-09,3.534121e-16,3.454494e-08,3.162278e+07
phis,0,1.570796,5.623413e-09,2.094885e-16,6.877512e-09,1.778279e+07
phis,0,1.570796,1.000000e-08,3.725290e-16,6.077471e-09,1.000000e+07
phis,0,1.570796,1.778279e-08,1.656152e-16,1.446944e-09,5.623413e+06
phis,0,1.570796,3.162278e-08,1.472550e-16,5.633932e-10,3.162278e+06
phis,0,1.570796,5.623413e-08,1.309303e-16,1.019635e-09,1.778279e+06
phis,0,1.570796,1.000000e-07,2.328306e-16,5.838674e-10,1.000000e+06
phis,0,1.570796,1.778279e-07,0.000000e+00,1.982958e-10,5.623413e+05
phis,0,1.570796,3.162278e-07,0.000000e+00,1.387730e-10,3.162278e+05
phis,0,1.570796,5.623413e-07,1.636629e-16,1.649370e-10,1.778279e+05
phis,0,1.570796,1.000000e-06,1.455192e-16,8.226663e-11,1.000000e+05
phis,0,1.570796,1.778279e-06,2.587737e-16,5.143399e-11,5.623413e+04
phis,0,1.570796,3.162278e-06,3.451290e-16,1.660415e-12,3.162278e+04
phis,0,1.570796,5.623413e-06,2.045786e-16,6.994133e-12,1.778279e+04
phis,0,1.570796,1.000000e-05,1.818989e-16,6.551090e-12,1.000000e+04
phis,0,1.570796,1.778279e-05,3.234671e-16,1.488111e-12,5.623413e+03
phis,0,1.570796,3.162278e-05,2.876075e-16,1.660214e-12,3.162278e+03
phis,0,1.570796,5.623413e-05,1.278616e-16,9.028309e-13,1.778279e+03
phis,0,1.570796,1.000000e-04,2.273737e-16,1.099352e-13,1.000000e+03
phis,0,1.570796,1.778279e-04,2.021670e-16,2.397700e-13,5.623413e+02
phis,0,1.570796,3.162278e-04,0.000000e+00,2.561504e-13,3.162278e+02
phis,0,1.570796,5.623413e-04,3.196540e-16,1.129977e-13,1.778279e+02
phis,0,1.570796,1.000000e-03,1.421085e-16,1.104183e-13,1.000000e+02
phis,0,1.570796,1.778279e-03,3.790630e-16,1.036106e-14,5.623413e+01
phis,0,1.570796,3.162278e-03,3.370400e-16,2.539035e-14,3.162278e+01
phis,0,1.570796,5.623413e-03,1.997837e-16,5.194377e-15,1.778280e+01
phis,0,1.570796,1.000000e-02,7.105421e-16,7.105421e-16,1.000001e+01
